segment,name,exchange,isin,instrument_type,instrument_key,lot_size,freeze_quantity,exchange_token,tick_size,trading_symbol,short_name,qty_multiplier,security_type,intraday_margin,intraday_leverage,Is present in nifty?,instrument_key
NSE_EQ,HIMATSINGKA SEIDE LTD,NSE,INE049A01027,EQ,NSE_EQ|INE049A01027,1,100000,1360,1,HIMATSEIDE,Himatsingka Seide,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE049A01027
NSE_EQ,IFCI LTD,NSE,INE039A01010,EQ,NSE_EQ|INE039A01010,1,100000,1491,1,IFCI,IFCI,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE039A01010
NSE_EQ,CENTRAL DEPO SER (I) LTD,NSE,INE736A01011,EQ,NSE_EQ|INE736A01011,1,100000,21174,10,CDSL,CDSL,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE736A01011
NSE_EQ,DOLPHIN OFF ENT (IND) L,NSE,INE920A01037,EQ,NSE_EQ|INE920A01037,1,100000,18139,5,DOLPHIN,,1,NORMAL,100,1,#VALUE!,NSE_EQ|INE920A01037
NSE_EQ,UNO MINDA LIMITED,NSE,INE405E01023,EQ,NSE_EQ|INE405E01023,1,100000,14154,10,UNOMINDA,Uno Minda,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE405E01023
NSE_EQ,HSG & URBAN DEV CORPN LTD,NSE,INE031A01017,EQ,NSE_EQ|INE031A01017,1,100000,20825,1,HUDCO,HUDCO,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE031A01017
NSE_EQ,IIFL CAPITAL SERVICES LTD,NSE,INE489L01022,EQ,NSE_EQ|INE489L01022,1,100000,13072,5,IIFLCAPS,IIFL Securities,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE489L01022
NSE_EQ,GE VERNOVA T&D INDIA LTD,NSE,INE200A01026,EQ,NSE_EQ|INE200A01026,1,100000,16783,10,GVT&D,GE T&D India,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE200A01026
NSE_EQ,AUTHUM INVEST & INFRA LTD,NSE,INE206F01022,EQ,NSE_EQ|INE206F01022,1,100000,23553,10,AIIL,,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE206F01022
NSE_EQ,MAX INDIA LIMITED,NSE,INE0CG601016,EQ,NSE_EQ|INE0CG601016,1,100000,22428,1,MAXIND,Max India,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE0CG601016
NSE_EQ,SAPPHIRE FOODS INDIA LTD,NSE,INE806T01020,EQ,NSE_EQ|INE806T01020,1,100000,6718,1,SAPPHIRE,,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE806T01020
NSE_EQ,JM FINANCIAL LIMITED,NSE,INE780C01023,EQ,NSE_EQ|INE780C01023,1,100000,13637,1,JMFINANCIL,JM Financial,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE780C01023
NSE_EQ,ICE MAKE REFRIGERAT LTD,NSE,INE520Y01019,EQ,NSE_EQ|INE520Y01019,1,100000,489,5,ICEMAKE,ICE Make Refrigeration,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE520Y01019
NSE_EQ,GOKUL AGRO RESOURCES LTD,NSE,INE314T01033,EQ,NSE_EQ|INE314T01033,1,100000,14480,1,GOKULAGRO,,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE314T01033
NSE_EQ,DYNAMIC CABLES LIMITED,NSE,INE600Y01019,EQ,NSE_EQ|INE600Y01019,1,100000,10417,5,DYCL,,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE600Y01019
NSE_EQ,USHA MARTIN LTD.,NSE,INE228A01035,EQ,NSE_EQ|INE228A01035,1,100000,8840,5,USHAMART,Usha Martin,1,NORMAL,20,5,#VALUE!,NSE_EQ|INE228A01035
